Stop_ID_Num,SERVICE_PERIOD,MAIN_CROSS_STREET,ROUTES_SERVED,AVG_BOARDINGS,AVG_ALIGHTINGS,AVG_ACTIVITY,Stop_ID_clean,stop_code_clean,stop_name,stop_lat,stop_lon,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,objectid,Geographic ID,State FIPS,County FIPS,Census Tract,Total Population,Total Population for Income,Total Civilian Population,Total Households,Total Families,Total Over 5 Population,Total Over 75 Population,People of Color Population,Single-Parent Family Population,Limited English Proficiency Population,Low-Income Population,Disabled Population,Rent-Burdened Population,Zero-Vehicle Household Population,Percent Over 75,Percent People of Color,Percent Single-Parent Family,Percent Limited English Proficiency,Percent Low-Income,Percent Disabled,Percent Rent-Burdened,Percent Zero-Vehicle Household,Over 75 Reg Mean Plus Half SD,People of Color Reg Mean Plus Half SD,Single-Parent Family Reg Mean Plus Half SD,Limited English Proficiency Reg Mean Plus Half SD,Low-Income Reg Mean Plus Half SD,Disabled Reg Mean Plus Half SD,Rent-Burdened Reg Mean Plus Half SD,Zero-Vehicle Household Reg Mean Plus Half SD,PBA 2035 Equity Priority Community,PBA 2040 Equity Priority Community,PBA 2050 Equity Priority Community,Change PBA 2040 to 2050,Equity Priority Community Class,Shape__Area,Shape__Length,Route,Cluster,Underserved_Score,Cluster_Label
64050.0,Weekday,JULIAN + 17TH,"64A, 64B",25.951424229365404,9.978226920138681,35.929651149504096,64050,64050,Julian & 17th,37.348345,-121.877512,POINT (-121.877512 37.348345),189,06,085,501200,1400000US06085501200,06085501200,5012,CT,831245,0,2619,6085501200,6,85,501200,4212,4098,4161,1301,778,3974,170,3408,107,540,1483,481,157,62,0.040360873694207,0.809116809116809,0.137532133676093,0.135883241066935,0.361883845778429,0.115597212208604,0.120676402767102,0.0476556495003843,0,1,0,1,1,0,0,0,1,1,1,0,High,8.38678988657193e-05,0.037884012849879,64A,2,0.3629485180780008,Cluster 2
64050.0,Weekday,JULIAN + 17TH,"64A, 64B",25.951424229365404,9.978226920138681,35.929651149504096,64050,64050,Julian & 17th,37.348345,-121.877512,POINT (-121.877512 37.348345),189,06,085,501200,1400000US06085501200,06085501200,5012,CT,831245,0,2619,6085501200,6,85,501200,4212,4098,4161,1301,778,3974,170,3408,107,540,1483,481,157,62,0.040360873694207,0.809116809116809,0.137532133676093,0.135883241066935,0.361883845778429,0.115597212208604,0.120676402767102,0.0476556495003843,0,1,0,1,1,0,0,0,1,1,1,0,High,8.38678988657193e-05,0.037884012849879,64B,0,0.6759951794108331,Cluster 0
64051.0,Weekday,JULIAN + 15TH,"64A, 64B",21.99106832709774,14.188542013542012,36.179610340639755,64051,64051,Julian & 15th,37.347271,-121.879782,POINT (-121.879782 37.347271),189,06,085,501200,1400000US06085501200,06085501200,5012,CT,831245,0,2619,6085501200,6,85,501200,4212,4098,4161,1301,778,3974,170,3408,107,540,1483,481,157,62,0.040360873694207,0.809116809116809,0.137532133676093,0.135883241066935,0.361883845778429,0.115597212208604,0.120676402767102,0.0476556495003843,0,1,0,1,1,0,0,0,1,1,1,0,High,8.38678988657193e-05,0.037884012849879,64A,2,0.3629485180780008,Cluster 2
64051.0,Weekday,JULIAN + 15TH,"64A, 64B",21.99106832709774,14.188542013542012,36.179610340639755,64051,64051,Julian & 15th,37.347271,-121.879782,POINT (-121.879782 37.347271),189,06,085,501200,1400000US06085501200,06085501200,5012,CT,831245,0,2619,6085501200,6,85,501200,4212,4098,4161,1301,778,3974,170,3408,107,540,1483,481,157,62,0.040360873694207,0.809116809116809,0.137532133676093,0.135883241066935,0.361883845778429,0.115597212208604,0.120676402767102,0.0476556495003843,0,1,0,1,1,0,0,0,1,1,1,0,High,8.38678988657193e-05,0.037884012849879,64B,0,0.6759951794108331,Cluster 0
64103.0,Weekday,HAMILTON + EDEN,56,10.950175070028013,62.000326797385604,72.95050186741359,64103,64103,Hamilton & Eden,37.29415,-121.953962,POINT (-121.953962 37.29415),145,06,085,506501,1400000US06085506501,06085506501,5065.01,CT,882227,0,2802,6085506501,6,85,506501,7132,7017,6997,2393,1524,6564,181,5519,202,850,2731,582,554,197,0.0253785754346607,0.773836231071228,0.13254593175853,0.129494210847044,0.389197662818868,0.083178505073603,0.231508566652737,0.0823234433765148,0,1,0,1,1,0,1,0,1,1,1,0,High,8.97918271220988e-05,0.0408242476575927,56,2,0.1700784884895505,Cluster 2
64128.0,Weekday,ALMA + LICK,"256, 56",4.179715219421103,6.641701680672267,10.821416900093372,64128,64128,Alma & Lick,37.311251,-121.881151,POINT (-121.881151 37.311251),47,06,085,503121,1400000US06085503121,06085503121,5031.21,CT,2146009,0,2666,6085503121,6,85,503121,4693,4634,4693,1447,933,4353,88,4118,264,676,1928,441,273,123,0.0187513317707224,0.877477093543576,0.282958199356913,0.155295198713531,0.416055243849806,0.0939697421691882,0.188666205943331,0.0850034554250173,0,1,1,1,1,0,1,0,1,1,1,0,Higher,0.0002182327662012,0.0625654212817878,56,2,0.1700784884895505,Cluster 2
64129.0,Weekday,ALMA + VINE,"256, 56",5.99596171802054,24.166935107376265,30.162896825396817,64129,64129,Alma & Vine,37.312896,-121.878824,POINT (-121.878824 37.312896),47,06,085,503121,1400000US06085503121,06085503121,5031.21,CT,2146009,0,2666,6085503121,6,85,503121,4693,4634,4693,1447,933,4353,88,4118,264,676,1928,441,273,123,0.0187513317707224,0.877477093543576,0.282958199356913,0.155295198713531,0.416055243849806,0.0939697421691882,0.188666205943331,0.0850034554250173,0,1,1,1,1,0,1,0,1,1,1,0,Higher,0.0002182327662012,0.0625654212817878,56,2,0.1700784884895505,Cluster 2
64130.0,Weekday,ALMA + POMONA,"256, 56",2.8396358543417346,12.575665266106446,15.415301120448177,64130,64130,Alma & Pomona,37.314422,-121.876664,POINT (-121.876664 37.314422),47,06,085,503121,1400000US06085503121,06085503121,5031.21,CT,2146009,0,2666,6085503121,6,85,503121,4693,4634,4693,1447,933,4353,88,4118,264,676,1928,441,273,123,0.0187513317707224,0.877477093543576,0.282958199356913,0.155295198713531,0.416055243849806,0.0939697421691882,0.188666205943331,0.0850034554250173,0,1,1,1,1,0,1,0,1,1,1,0,Higher,0.0002182327662012,0.0625654212817878,56,2,0.1700784884895505,Cluster 2
64157.0,Weekday,JULIAN + 9TH,"64A, 64B",15.007428764046406,19.232594937742004,34.24002370178841,64157,64157,Julian & 9th,37.344504,-121.885601,POINT (-121.885601 37.344504),318,06,085,501000,1400000US06085501000,06085501000,5010,CT,802660,0,2616,6085501000,6,85,501000,4721,4705,4705,2122,773,4446,408,3562,128,682,2337,719,664,474,0.0864223681423427,0.754501165007414,0.165588615782665,0.153396311291048,0.496705632306057,0.152816153028693,0.312912346842601,0.223374175306315,1,1,0,1,1,1,1,1,1,1,1,0,Higher,8.20050081529189e-05,0.036681524988535,64A,2,0.3629485180780008,Cluster 2
64157.0,Weekday,JULIAN + 9TH,"64A, 64B",15.007428764046406,19.232594937742004,34.24002370178841,64157,64157,Julian & 9th,37.344504,-121.885601,POINT (-121.885601 37.344504),318,06,085,501000,1400000US06085501000,06085501000,5010,CT,802660,0,2616,6085501000,6,85,501000,4721,4705,4705,2122,773,4446,408,3562,128,682,2337,719,664,474,0.0864223681423427,0.754501165007414,0.165588615782665,0.153396311291048,0.496705632306057,0.152816153028693,0.312912346842601,0.223374175306315,1,1,0,1,1,1,1,1,1,1,1,0,Higher,8.20050081529189e-05,0.036681524988535,64B,0,0.6759951794108331,Cluster 0
64166.0,Weekday,ALMA + 1ST,"256, 56",42.17408514687928,10.686152409681823,52.860237556561096,64166,64166,Alma & 1st,37.316217,-121.874412,POINT (-121.874412 37.316217),46,06,085,503113,1400000US06085503113,06085503113,5031.13,CT,728343,0,2661,6085503113,6,85,503113,5326,5271,5326,1305,1011,4901,152,4897,289,1045,2805,401,245,123,0.0285392414570034,0.919451746150958,0.285855588526212,0.213221791471128,0.532157085941947,0.0752910251595944,0.187739463601533,0.0942528735632184,0,1,1,1,1,0,1,0,1,1,1,0,Higher,7.50935359974392e-05,0.0355394667116775,56,2,0.1700784884895505,Cluster 2
64167.0,Weekday,ALMA + PLUM,"256, 56",13.081219026071965,2.6965309200603302,15.777749946132294,64167,64167,Alma & Plum,37.314626,-121.87666,POINT (-121.87666 37.314626),46,06,085,503113,1400000US06085503113,06085503113,5031.13,CT,728343,0,2661,6085503113,6,85,503113,5326,5271,5326,1305,1011,4901,152,4897,289,1045,2805,401,245,123,0.0285392414570034,0.919451746150958,0.285855588526212,0.213221791471128,0.532157085941947,0.0752910251595944,0.187739463601533,0.0942528735632184,0,1,1,1,1,0,1,0,1,1,1,0,Higher,7.50935359974392e-05,0.0355394667116775,56,2,0.1700784884895505,Cluster 2
64168.0,Weekday,ALMA + VINE,"256, 56",27.705871579400984,9.815849673202614,37.52172125260359,64168,64168,Alma & Vine,37.313059,-121.878894,POINT (-121.878894 37.313059),46,06,085,503113,1400000US06085503113,06085503113,5031.13,CT,728343,0,2661,6085503113,6,85,503113,5326,5271,5326,1305,1011,4901,152,4897,289,1045,2805,401,245,123,0.0285392414570034,0.919451746150958,0.285855588526212,0.213221791471128,0.532157085941947,0.0752910251595944,0.187739463601533,0.0942528735632184,0,1,1,1,1,0,1,0,1,1,1,0,Higher,7.50935359974392e-05,0.0355394667116775,56,2,0.1700784884895505,Cluster 2
64170.0,Weekday,ALMA + LICK,"256, 56",8.154257343963227,3.2451680672268908,11.399425411190116,64170,64170,Alma & Lick,37.311173,-121.881554,POINT (-121.881554 37.311173),46,06,085,503113,1400000US06085503113,06085503113,5031.13,CT,728343,0,2661,6085503113,6,85,503113,5326,5271,5326,1305,1011,4901,152,4897,289,1045,2805,401,245,123,0.0285392414570034,0.919451746150958,0.285855588526212,0.213221791471128,0.532157085941947,0.0752910251595944,0.187739463601533,0.0942528735632184,0,1,1,1,1,0,1,0,1,1,1,0,Higher,7.50935359974392e-05,0.0355394667116775,56,2,0.1700784884895505,Cluster 2
64193.0,Weekday,HAMILTON + WINCHESTER,"101, 56",58.5514418587948,42.63246426775838,101.18390612655324,64193,64193,Hamilton & Winchester,37.29439,-121.950566,POINT (-121.950566 37.29439),145,06,085,506501,1400000US06085506501,06085506501,5065.01,CT,882227,0,2802,6085506501,6,85,506501,7132,7017,6997,2393,1524,6564,181,5519,202,850,2731,582,554,197,0.0253785754346607,0.773836231071228,0.13254593175853,0.129494210847044,0.389197662818868,0.083178505073603,0.231508566652737,0.0823234433765148,0,1,0,1,1,0,1,0,1,1,1,0,High,8.97918271220988e-05,0.0408242476575927,56,2,0.1700784884895505,Cluster 2
64194.0,Weekday,HAMILTON + EDEN,56,41.96537743302448,14.116743877037997,56.08212131006249,64194,64194,Hamilton & Eden,37.294399,-121.955029,POINT (-121.955029 37.294399),145,06,085,506501,1400000US06085506501,06085506501,5065.01,CT,882227,0,2802,6085506501,6,85,506501,7132,7017,6997,2393,1524,6564,181,5519,202,850,2731,582,554,197,0.0253785754346607,0.773836231071228,0.13254593175853,0.129494210847044,0.389197662818868,0.083178505073603,0.231508566652737,0.0823234433765148,0,1,0,1,1,0,1,0,1,1,1,0,High,8.97918271220988e-05,0.0408242476575927,56,2,0.1700784884895505,Cluster 2
